,Número dedeclaraciones,Renta brutamedia,Rentadisponiblemedia,Rentas del trabajo,Rentasexentas,Rentabruta,Cotizacionessocialesa la SS,Cuota resultante deautoliquidación,Rentadisponible
33205-El Llano de Arriba,7.978,29.163,23.942,186.891.803,9.925.527,232.663.598,7.288.980,34.370.999,191.010.277
33206-Laviada,4.312,36.224,28.864,110.365.990,6.849.738,156.197.473,4.394.114,27.348.931,124.460.016
33207-El Polígono,12.914,28.487,23.600,306.303.131,18.706.428,367.878.357,11.353.186,51.764.185,304.769.891
33208-El Llano de Abajo,11.753,24.800,20.866,244.372.973,16.095.170,291.477.761,9.824.917,36.413.646,245.239.197
33209-Ceares,13.252,25.435,21.225,286.793.897,16.595.808,337.065.212,13.451.447,42.349.747,281.275.375
33210-Pumarín,12.497,23.089,19.551,250.459.877,14.027.616,288.537.092,11.736.507,32.474.110,244.331.563
33211-Gijón Sur (Tremañes-Roces-Nuevo Gijón-Montevil),14.117,26.059,21.534,318.841.448,16.016.965,367.876.967,16.863.132,47.020.826,304.000.230
33212-Natahoyo,10.579,26.224,21.794,238.051.155,13.642.575,277.423.050,10.378.165,36.488.209,230.558.783
33213-La Calzada-Veriña,11.483,24.019,20.262,239.522.975,14.695.123,275.808.525,10.774.475,32.367.713,232.666.753
33290-Jove-Hospital,950,25.288,20.890,21.274.323,854.228,24.023.936,1.186.522,2.992.366,19.845.048
33350-Granda-La Camocha,1.667,29.536,24.203,40.826.998,2.194.342,49.236.428,2.006.731,6.882.605,40.347.091
33391-Castiello-Santurio,1.312,30.290,24.793,31.815.211,1.804.528,39.741.081,1.472.139,5.741.008,32.527.934
33394-Deva-Cabueñes,1.969,42.604,33.066,59.148.377,3.004.097,83.886.973,2.954.297,15.825.789,65.107.151
Resto,3.005,28.837,23.704,68.388.528,4.226.330,86.655.199,3.266.976,12.157.909,71.230.314
Oviedo-33044,130.183,30.794,24.873,3.255.547.615,171.588.721,4.008.884.836,143.981.352,626.989.144,3.237.983.004
33001-Pumarín,5.712,33.498,26.928,148.829.269,8.401.488,191.338.426,5.687.400,31.848.664,153.814.566
33002-Centro-Norte,2.513,34.304,27.728,65.468.686,4.132.723,86.205.983,2.503.238,14.026.735,69.681.130
33003-Centro-Este,1.412,40.712,31.665,37.282.056,2.269.465,57.485.870,1.374.612,11.402.861,44.710.367
33004-Centro-Oeste,2.406,48.322,37.095,75.425.164,3.268.998,116.263.155,2.594.334,24.419.391,89.250.183
33005-El Cristo,3.612,45.104,34.901,114.190.033,4.792.845,162.917.028,3.689.150,33.169.065,126.061.871
33006-Buenavista,10.799,35.344,27.971,313.281.674,14.318.122,381.680.009,13.009.408,66.618.903,302.054.780
33007-Buenavista,5.567,42.923,33.413,171.858.474,8.156.418,238.950.607,5.584.556,47.354.167,186.011.883
33008-Fuente Del Forno,8.320,30.093,24.375,210.942.459,10.858.371,250.374.387,9.490.715,38.103.105,202.796.231
33009-Fuente de La Plata,4.630,31.678,25.529,121.951.942,5.789.668,146.666.958,5.155.495,23.322.060,118.197.278
33010-La Florida,13.107,25.485,21.192,285.831.621,16.596.869,334.038.152,13.346.630,42.930.881,277.760.640
33011-Corredoria,27.084,26.260,21.713,615.481.833,34.616.365,711.238.921,30.804.908,92.379.462,588.062.412
33012-Ferreros,19.594,29.694,24.099,494.249.965,24.930.744,581.823.930,23.318.301,86.307.016,472.202.852
33013-Arganosa,10.108,32.742,26.296,262.245.304,12.634.650,330.954.814,10.914.092,54.245.395,265.800.177
33119-Área Trubia,1.138,24.719,20.800,24.943.148,1.318.884,28.129.883,1.096.800,3.362.136,23.670.947
33191-Las Regueras,1.546,28.029,22.916,35.574.954,2.079.065,43.332.975,1.738.816,6.166.267,35.427.892
Resto,12.635,27.502,22.357,277.991.035,17.424.047,347.483.740,13.672.896,51.333.035,282.479.796
Palma de Mallorca-07040,211.205,31.615,25.375,4.902.803.916,205.249.382,6.677.323.583,240.857.063,1.077.255.482,5.359.311.525
07001-Monti-Sion,2.608,52.374,40.036,64.714.013,2.067.619,136.590.544,2.846.946,29.337.766,104.412.863
07002-Centro-Mercat,3.137,39.489,30.689,75.645.780,3.210.899,123.878.327,3.702.155,23.909.983,96.271.811
07003-Centro-Sant Jaume,8.074,36.970,29.138,205.167.404,8.010.914,298.497.264,9.067.216,54.175.470,235.258.650
07004-Son Oliva,17.152,29.934,24.227,406.162.026,16.530.295,513.434.981,20.304.257,77.588.460,415.543.503
07005-Pere Garau,11.845,26.041,21.472,246.600.756,10.612.981,308.457.822,12.518.632,41.604.172,254.339.979
07006-Es Portixol,13.648,30.257,24.436,311.592.786,13.727.246,412.945.197,14.919.259,64.525.065,333.502.876
07007-Coll D En Rabassa,16.131,26.176,21.670,334.967.068,16.535.381,422.250.952,16.856.094,55.843.853,349.558.344
07008-Son Canals,22.467,22.949,19.346,436.189.319,22.100.396,515.598.112,23.775.508,57.187.005,434.639.965
07009-Son Cladera,7.392,24.375,20.362,152.919.943,7.542.546,180.177.058,8.428.108,21.241.014,150.514.106
07010-Cas Capiscol,18.630,30.830,24.817,458.520.472,17.548.093,574.368.465,22.182.469,89.846.808,462.342.078
07011-El Fortí-Son Ximelis,18.575,30.690,24.669,433.793.938,17.846.483,570.075.935,21.359.104,90.482.902,458.234.103
07012-San Jaume,3.186,51.142,39.348,84.657.681,2.756.176,162.936.898,3.398.746,34.183.285,125.362.751
07013-Son Rapinya,17.645,37.587,29.487,473.918.551,18.585.468,663.214.624,22.533.390,120.385.877,520.302.226
07014-Son Dureta,11.981,42.270,32.549,338.483.406,12.744.633,506.434.297,14.739.407,101.738.398,389.964.115
07015-Cala Major-El Terreno,9.993,40.249,31.243,262.903.269,9.704.918,402.211.772,11.929.869,78.085.618,312.213.138
07120-Son Sardina,1.977,34.349,27.508,50.230.751,1.876.287,67.907.841,2.393.734,11.131.383,54.382.724
07198-Son Ferriol,5.246,28.168,23.102,116.427.902,4.525.954,147.767.466,6.236.401,20.339.528,121.191.657
07199-Llevant,2.642,28.583,23.417,59.061.298,2.749.500,75.516.092,3.119.993,10.529.125,61.866.973
07600-El Arenal,4.675,21.836,18.571,81.961.768,4.279.665,102.082.111,4.611.278,10.652.854,86.817.979
07610-Can Pastilla,5.110,32.115,25.954,116.615.881,4.629.168,164.108.799,5.761.291,25.739.561,132.623.219
Resto,9.091,36.175,28.596,192.269.904,7.664.759,328.869.026,10.173.205,58.727.355,259.968.466
Palmas de Gran Canaria Las-35016,180.419,29.269,23.833,4.095.419.644,196.104.224,5.280.607.910,187.913.272,793.258.306,4.299.837.359
35001-Cono Sur,2.233,35.236,28.077,53.955.780,2.183.918,78.682.972,2.134.650,13.852.764,62.696.656
35002-Triana,5.063,44.620,34.665,147.378.073,7.117.875,225.911.695,5.567.352,44.835.299,175.511.112
35003-Arenales,5.044,39.831,31.370,141.387.582,5.314.886,200.909.932,5.608.340,37.073.514,158.228.078
35004-Lugo,9.014,36.522,28.979,248.317.073,9.737.837,329.212.286,10.009.517,58.003.521,261.217.207
35005-Ciudad Jardín,2.056,54.145,40.983,63.362.002,2.553.945,111.322.498,2.434.089,24.827.117,84.260.215
35006-Alcaravaneras,5.977,32.126,26.093,141.207.746,7.164.979,192.015.038,5.835.739,30.220.545,155.958.753
35007-Santa Catalina,7.756,34.089,27.293,187.599.876,7.560.043,264.392.941,7.958.020,44.750.319,211.687.842
35008-Tafira,3.472,30.938,25.237,77.119.985,3.640.730,107.415.798,3.299.939,16.494.720,87.623.094
35009-La Isleta,7.609,25.451,21.223,154.864.920,7.671.733,193.654.414,7.077.367,25.095.270,161.484.384
35010-Guanarteme,19.264,32.562,26.242,480.624.579,21.769.131,627.278.141,21.596.759,100.149.409,505.532.853
35011-Escaleritas,14.239,32.361,26.005,360.026.270,16.839.521,460.783.798,15.482.930,75.056.461,370.279.624
35012-Schamann,12.131,21.823,18.645,223.494.055,12.475.641,264.736.195,10.365.106,28.184.956,226.186.134
35013-La Paterna,9.079,19.908,17.236,154.650.949,9.421.191,180.745.437,7.700.160,16.560.310,156.484.966
35014-Miller,9.015,22.610,19.147,170.707.516,9.310.170,203.830.043,8.011.076,23.212.471,172.606.496
35015-La Matula,7.266,20.394,17.611,127.234.205,8.102.665,148.185.614,6.220.595,14.005.544,127.960.605
35016-Vega de San José,11.182,21.090,18.114,200.300.866,11.560.774,235.833.468,9.555.395,23.724.371,202.555.871
35017-Tafira,6.169,39.702,31.029,170.995.370,6.285.265,244.922.776,7.413.011,46.093.624,191.417.527
35018-Tamaraceite,23.663,25.037,20.908,489.253.497,27.083.906,592.451.010,26.209.857,71.606.096,494.746.713
35019-Siete Palmas,9.143,37.507,29.382,281.303.776,10.846.595,342.930.309,14.233.996,60.058.382,268.638.321
35229-El Cernícalo- Santa Margarita- Mercalaspalmas-Hornos del Rey-Llanos de cuatro caminos- El Sabinal,1.429,24.549,20.310,28.443.537,1.223.960,35.080.468,1.343.215,4.716.882,29.023.488
Resto,9.615,24.994,20.358,193.191.990,8.239.461,240.313.077,9.856.159,34.736.730,195.737.421
Telde-35026,46.805,24.317,20.336,940.842.966,48.870.596,1.138.134.617,49.163.118,137.150.888,951.837.900
35200-San Juan-San Gregorio,11.975,24.136,20.263,233.883.219,12.272.534,289.029.429,11.788.978,34.593.938,242.647.054
35210-Lomo de la Herradura-Tara-San José de la Longueras-Montaña de las Palmas,3.799,21.925,18.700,70.145.580,4.043.408,83.294.660,4.020.043,8.234.598,71.040.019
35211-Lomo Magullo-Valle de los Nueve-El Infiernillo-Cazadores,1.549,20.739,17.802,27.915.127,1.254.193,32.124.645,1.528.297,3.025.776,27.576.031
35212-La Garita-Hoya del Pozo-Marpequeña,5.500,31.110,25.154,138.221.816,6.860.782,171.106.977,6.971.171,25.793.012,138.346.420
35213-La Pardilla-San Isidro-San Antonio-Las Remudas,3.077,24.868,20.680,66.087.617,2.936.838,76.519.878,3.379.933,9.508.038,63.631.907
35214-Playa del Hombre-Taliarte-Salinetas-Playa de Melenara,3.777,32.446,25.972,96.078.473,3.639.764,122.548.830,4.737.128,19.715.764,98.096.077
35215-Callejón del Castillo-El Calero-El Caracol-Las Huesas-Lomo del Cementerio-Las Medianías-Jerez-Cuatro Puertas,7.221,22.373,19.005,138.102.454,6.897.798,161.558.170,7.703.326,16.621.998,137.232.847
35218-La Gavia-La Solana-El Palmital-La Higuera Canaria-Los Caserones-El Cortijo-La Majadilla,2.026,24.705,20.660,40.504.356,2.853.134,50.051.745,2.211.754,5.981.864,41.858.128
35219-El Goro-Ojos de Garza-Base Aérea de Gando,1.258,21.478,18.287,22.732.067,1.429.128,27.019.652,1.159.075,2.855.995,23.004.804
35220-Jinámar-Valle de Jinámar,6.344,18.577,16.159,101.929.258,6.314.036,117.854.802,5.384.754,9.966.988,102.510.361
Resto,279,25.182,21.126,5.243.000,368.982,7.025.828,278.659,852.918,5.894.252
San Cristóbal de la Laguna-38023,73.310,26.024,21.484,1.577.094.875,62.808.718,1.907.785.843,76.569.417,256.297.825,1.574.988.833
38108-Guajara- El Cardona,12.917,20.375,17.511,227.618.225,11.299.763,263.183.663,11.979.828,25.031.337,226.184.159
38201-Pza. del Adelantado-Catedral-Real Santuario del Santísimo Cristo de La Laguna,2.535,35.375,28.074,67.801.736,2.442.243,89.675.493,2.626.707,15.881.096,71.167.690
38202-Pza. 18 de julio,2.340,31.720,25.575,61.054.574,1.963.125,74.224.514,2.734.646,11.645.131,59.844.737
38203-El Coromoto,2.245,23.071,19.431,45.015.497,1.936.295,51.795.166,2.129.896,6.042.183,43.623.088
38204-Calle Barcelona- Avenida Trinidad,2.386,29.775,24.125,57.978.859,1.571.612,71.043.935,2.562.507,10.918.894,57.562.535
38205-Barrio Nuevo- Finca España,7.499,26.914,22.103,170.164.641,6.628.414,201.825.709,8.379.757,27.737.970,165.747.386
38206-Las Gavias,5.251,28.831,23.441,128.248.336,4.004.522,151.390.245,6.306.911,21.996.931,123.090.363
38207-La Verdellada,2.121,22.662,19.072,42.459.734,1.851.965,48.065.489,2.197.573,5.415.322,40.452.593
38208-Vega Lagunera,3.905,40.046,31.220,116.053.636,3.626.598,156.380.036,4.733.396,29.732.248,121.914.391
38240-Punta del Hidalgo,1.216,24.263,20.168,24.463.570,774.075,29.503.568,1.244.625,3.734.125,24.524.817
38250-Bajamar,1.683,27.831,22.702,36.064.899,1.339.448,46.839.245,1.817.632,6.813.759,38.207.854
38260-Tejina,3.433,21.880,18.509,63.108.212,2.656.468,75.113.416,3.366.004,8.207.574,63.539.839
38270-Valle Guerra,2.467,22.531,19.062,45.233.424,1.863.276,55.584.213,2.324.041,6.235.079,47.025.094
38291-Mina- Los Baldíos,1.034,23.486,19.698,20.449.145,938.905,24.284.308,1.075.116,2.841.470,20.367.722
38293-Las Mercedes,1.514,24.951,20.773,30.674.567,1.496.753,37.775.966,1.583.800,4.741.381,31.450.785
38296-Gueneto,4.653,30.752,24.897,117.730.539,5.071.817,143.088.303,5.599.142,21.647.550,115.846.036
38297-Los Rodeos,965,27.657,22.769,22.492.763,973.576,26.689.049,1.116.468,3.600.757,21.971.823
38320-Barrio Nuevo de Ofra- Barrio de la Candelaria,12.089,23.030,19.395,234.634.243,9.915.741,278.407.508,11.697.975,32.252.299,234.466.877
38330-Guamasa- El Boquerón,1.913,29.951,24.213,45.811.969,1.540.284,57.296.550,2.097.866,8.880.486,46.319.335
Resto,1.144,22.395,18.953,20.036.309,913.837,25.619.468,995.525,2.942.233,21.681.711
Santa Cruz de Tenerife-38038,100.150,28.662,23.417,2.243.881.916,99.504.648,2.870.461.639,101.756.381,423.665.903,2.345.261.767
38001-Rambla de Santa Cruz-Puerto,6.996,38.958,30.691,195.996.282,6.644.194,272.552.183,7.873.907,49.962.036,214.716.684
38002-San Vicente Ferrer-Plaza de España,3.440,38.403,30.198,91.012.724,3.273.353,132.104.670,3.802.210,24.426.027,103.880.952
38003-Av. Constitución-Palmetum,6.116,37.814,29.755,172.953.739,6.667.599,231.268.721,7.382.964,41.910.530,181.983.030
38004-Ifara-Parque García Sanabria,6.265,40.425,31.788,166.635.592,6.212.729,253.262.677,6.748.114,47.362.820,199.152.526
38005-Av Barranco de Santos-Tunel Juan Amigo de Lara,8.231,31.368,25.304,208.244.975,7.584.418,258.189.789,8.576.096,41.344.370,208.277.543
38006-Rambla de Santa Cruz-Av Barranco de Santos,5.397,37.510,29.750,131.101.796,5.201.899,202.443.148,5.550.420,36.501.683,160.558.877
38007-Parque de La Granja,8.710,28.075,23.042,198.205.694,8.780.494,244.529.640,8.369.275,35.466.687,200.695.414
38008-Parque Las Indias-Barranco de Santos,7.340,22.687,19.250,142.311.259,7.042.030,166.522.565,6.231.680,18.997.977,141.293.837
38009-Universidad de La Laguna Campus Central,6.487,25.774,21.449,136.040.183,6.403.273,167.195.241,5.751.052,22.306.135,139.140.533
38010-Av. Principes de España,8.505,21.259,18.270,158.745.761,8.541.658,180.809.893,6.936.125,18.494.763,155.387.902
38107-El Sobradillo-La Gallega-El Pilar,14.553,22.456,19.091,283.415.131,13.742.701,326.806.149,15.821.543,33.151.009,277.833.597
38108-San Matías-Los Andenes-Las Chumberas,1.185,17.386,15.251,17.122.192,1.465.543,20.602.522,929.980,1.604.291,18.072.675
38111-Santa María Del Mar-Añaza,7.742,24.439,20.379,160.762.019,8.686.789,189.209.883,8.675.977,22.761.940,157.772.619
38120-San Andrés-Barranco del Cercado,1.009,21.804,18.592,18.657.933,880.092,22.000.059,889.362,2.351.422,18.759.274
38180-Cueva Bermeja-Valle Crispín-Los Catalanes,1.359,27.350,22.519,31.726.574,1.299.205,37.168.558,1.641.031,4.925.581,30.603.920
Resto,6.815,24.328,20.122,130.950.062,7.078.672,165.795.943,6.576.643,22.098.629,137.132.385
Santander-39075,94.671,31.030,25.192,2.299.461.945,107.129.507,2.937.623.113,94.365.486,458.417.975,2.384.905.972
39001-Centro-Ayuntamiento,5.456,27.048,22.407,121.648.536,5.861.730,147.574.469,4.931.798,20.388.672,122.253.999
39002-Centro-Ayuntamiento,1.729,48.081,37.409,46.997.384,2.232.529,83.132.307,1.623.419,16.829.582,64.679.307
39003-Centro,4.533,31.875,25.697,112.512.277,5.119.198,144.491.406,4.518.516,23.497.007,116.482.420
39004-Puerto Chico,4.251,39.451,31.241,112.006.054,4.886.522,167.706.239,4.172.681,30.733.055,132.804.096
39005-El Sardinero-Los Pinares,7.783,40.277,31.710,217.493.303,8.821.539,313.476.084,7.796.393,58.879.115,246.801.391
39006-San Martín-San Roque,7.397,27.628,22.993,166.288.331,8.054.912,204.364.556,6.447.491,27.847.967,170.075.565
39007-San Fernando-General Dávila,5.931,27.967,23.194,134.984.275,6.745.497,165.874.618,5.339.134,22.974.667,137.565.661
39008-Cuatro Caminos-Numancia-San Fernando,6.073,25.319,21.202,129.460.644,6.344.289,153.762.027,5.112.597,19.892.972,128.761.875
39009-Barrio Pesquero (Castilla-Hermida),7.275,25.884,21.720,156.370.999,7.469.562,188.303.834,5.902.535,24.398.795,158.014.859
39010-Cuatro Caminos-San Fernando,5.984,32.584,26.585,147.319.551,7.368.763,194.981.431,4.817.104,31.089.989,159.083.533
39011-Peñacastillo-Alisal,19.265,26.735,22.168,446.406.302,21.505.176,515.056.971,20.225.697,67.766.921,427.070.272
39012-La Pereda,15.070,36.584,28.801,423.611.664,18.453.225,551.318.049,19.153.047,98.138.981,434.034.027
Resto,3.924,27.416,22.242,84.362.625,4.266.565,107.581.122,4.325.072,15.980.254,87.278.967
Burgos-09059,109.639,29.644,24.211,2.702.279.832,101.118.435,3.250.119.524,121.804.318,473.930.602,2.654.446.964
09001-Universidad Campus San Amaro,19.564,31.535,25.455,504.440.478,20.618.490,616.950.457,24.587.202,94.385.531,497.993.468
09002-Museo de La Evolución Humana-Carretera Madrid-Irun,8.794,29.939,24.475,211.710.411,8.027.198,263.283.055,8.692.103,39.365.682,215.228.903
09003-Catedral de Burgos,10.621,29.667,24.137,257.193.687,9.897.408,315.088.037,12.511.410,46.217.143,256.359.484
09004-Plaza de La Libertad-Av. Arlanzón,6.873,36.946,29.525,189.791.687,5.638.779,253.931.961,6.189.405,44.831.755,202.925.389
09005-Plaza de España-Plaza Francisco Sarmiento,8.536,31.528,25.750,209.598.715,7.390.931,269.121.362,7.789.657,41.535.360,219.802.025
09006-Villatoro-Cementerio San José,21.322,31.156,25.226,562.155.014,21.723.476,664.308.906,26.296.181,100.152.780,537.872.398
09007-San Cristóbal-Gamonal,31.809,25.548,21.354,721.446.023,26.202.876,812.670.388,33.313.743,100.124.797,679.242.110
Resto,2.120,25.833,21.237,45.943.818,1.619.277,54.765.358,2.424.617,7.317.554,45.023.186
León-24089,76.091,28.974,23.725,1.811.163.168,76.674.126,2.204.624.111,76.041.860,323.401.890,1.805.252.033
24001-El Ensanche,3.865,40.107,31.502,104.298.085,4.150.407,155.013.781,3.892.078,29.372.155,121.753.547
24002-Eras de Renueva,5.211,35.818,28.643,143.488.113,5.442.231,186.648.257,5.167.610,32.224.309,149.256.337
24003-Barrio Húmedo- Barrio de Jesús Divino Obrero,3.145,30.785,24.982,74.132.298,3.030.562,96.818.667,3.295.081,14.955.603,78.567.982
24004-Jardín de San Francisco- Plaza de Toros- Paseo Papalaguinda,4.381,33.815,27.331,109.274.205,4.522.263,148.141.648,3.915.976,24.489.099,119.736.573
24005-La Lastra- Puente Castro- La Chantría,10.912,29.135,23.903,267.871.514,11.577.620,317.918.393,11.660.435,45.431.834,260.831.567
24006-El Ejido-Sta. Ana,9.034,25.611,21.484,197.245.298,8.424.712,231.367.114,7.565.709,29.724.220,194.082.470
24007-La Palomera- San Mamés- Barrio Romántico,11.535,28.451,23.338,284.073.163,10.801.921,328.187.268,12.735.346,46.260.117,269.206.357
24008-La Inmaculada-,13.947,28.015,22.957,330.808.748,13.657.283,390.725.203,14.477.845,56.099.189,320.176.197
24009-Pinilla- El Crucero- La Vega,7.285,23.617,19.928,146.954.815,7.766.691,172.048.213,6.079.330,20.797.385,145.178.124
24010-Área 17,4.580,27.822,22.900,109.827.227,4.586.782,127.423.603,5.194.884,17.348.865,104.881.679
Resto,2.196,22.920,18.935,43.189.703,2.713.657,50.331.966,2.057.565,6.699.114,41.581.199
Salamanca-37274,84.172,27.561,22.730,1.871.805.029,73.098.126,2.319.839.873,75.832.933,330.847.184,1.913.196.275
37001-Gran Vía,5.462,35.715,28.578,140.537.811,4.465.180,195.074.929,4.813.623,34.179.634,156.094.264
37002-Plaza Mayor,3.855,42.286,33.207,107.388.087,3.073.303,163.012.856,3.383.815,31.615.752,128.013.289
37003-La Aldehuela-El Rollo,15.834,26.074,21.697,347.635.441,12.954.574,412.859.084,14.890.353,54.424.968,343.551.811
37004-Garrido,12.702,25.179,21.116,263.046.597,10.903.799,319.823.802,9.887.183,41.724.682,268.211.937
37005-La Glorieta,8.858,29.873,24.467,210.230.226,8.033.026,264.611.409,7.638.533,40.245.781,216.731.880
37006-Pizarrales,14.386,24.363,20.454,294.208.889,13.082.204,350.486.695,12.987.939,43.245.839,294.252.917
37007-Clínico_Huerta Otea,8.689,30.323,24.682,214.591.750,7.390.036,263.480.732,8.143.350,40.873.403,214.463.979
37008-Catedral_Tormes Sur,13.475,24.432,20.339,277.664.720,11.979.827,329.217.804,13.274.925,41.891.939,274.062.034
Resto,911,23.351,19.555,16.501.509,1.216.177,21.272.561,813.212,2.645.186,17.814.163
Valladolid-47186,181.418,29.490,24.065,4.402.416.822,186.524.156,5.350.039.672,186.459.165,797.857.350,4.365.849.243
47001-Centro-Paseo Isabel La Católica-Plaza España,2.964,47.708,36.761,85.204.817,2.463.274,141.406.059,3.237.941,29.209.924,108.958.224
47002-Centro-Universidad-Plaza San Juan,4.558,36.662,29.168,123.325.043,3.978.943,167.105.689,4.339.260,29.818.227,132.949.494
47003-Las Moreras-Rondilla-Hospital-Centro San Miguel,7.902,35.423,28.427,210.940.555,8.490.320,279.908.596,7.337.296,47.944.989,224.633.687
47004-Recoletos-San Andrés-Caño Argales,6.846,36.073,28.605,186.496.577,6.253.316,246.957.037,7.180.997,43.957.184,195.827.119
47005-Plaza Circular-Las Batallas,10.839,25.152,21.149,232.909.372,10.415.905,272.618.554,9.098.411,34.284.613,229.237.151
47006-Paseo Zorrilla-Cuatro de Marzo,7.824,33.497,27.024,198.432.353,7.770.176,262.079.760,7.195.209,43.477.046,211.433.445
47007-Campo Grande-Arco Ladrillo,11.699,31.294,25.455,304.255.752,11.490.854,366.106.759,11.536.116,56.780.539,297.797.579
47008-Parque Alameda-Covaresa,19.479,33.612,26.913,547.197.853,26.129.075,654.736.149,24.811.509,105.700.709,524.232.638
47009-La Overuela-Navabuena,14.009,29.433,24.026,349.594.686,13.353.369,412.321.662,15.528.053,60.227.141,336.575.898
47010-Rondilla-Santa Clara-Barrio España,12.368,22.371,19.152,242.740.764,11.742.340,276.682.506,10.089.377,29.731.278,236.868.326
47011-San Pablo-Barrio España-Barrio Belén-Pilarica,9.679,24.821,20.871,209.649.858,9.380.209,240.243.771,9.855.827,28.380.758,202.014.962
47012-Arcas Reales-Pajarillos,16.155,22.110,18.895,314.177.537,15.344.191,357.194.204,14.268.456,37.692.144,305.247.660
47013-Delicias,16.317,22.513,19.214,321.789.203,16.456.117,367.337.241,14.254.597,39.577.057,313.510.522
47014-Parquesol-Huerta Del Rey,23.098,32.608,26.262,623.227.783,24.334.810,753.183.160,25.267.481,121.345.745,606.590.281
47015-Villa Del Prado,4.345,36.401,28.777,134.625.807,4.909.104,158.160.719,7.141.238,25.983.123,125.036.359
47016-Parquesol,1.452,42.040,32.179,52.741.259,1.713.319,61.042.315,2.522.389,11.795.348,46.724.579
Resto,11.884,28.017,22.569,265.107.605,12.298.834,332.955.491,12.795.008,51.951.527,268.211.318
Albacete-02003,92.399,28.838,23.483,2.147.074.274,92.186.802,2.664.590.229,104.674.398,390.125.570,2.169.847.742
02001-San Antonio Abad- La Pajarita- Polígono de San Antón- Centro,9.306,33.551,26.892,236.565.597,9.096.327,312.222.578,9.771.052,52.214.434,250.252.430
02002-Parque Sur-Huerta de Marzo,10.909,32.813,26.223,288.000.931,11.446.418,357.960.076,12.574.746,59.331.800,286.062.010
02003-Franciscanos,8.746,29.959,24.370,202.307.770,8.877.918,262.024.984,8.614.101,40.273.572,213.140.054
02004-Fátima- Villacerrada,10.700,24.422,20.458,218.555.738,9.980.004,261.318.763,10.155.997,32.266.586,218.898.940
02005-Industria- El Pilar- Feria- Ntra. Sra. de Cubas,19.874,29.456,23.962,462.179.929,18.255.249,585.415.508,23.492.042,85.718.369,476.226.302
02006-San Pedro -Mortero- Pedro Lamata- Santa Teresa- Sepulcro-Bolera- San Pablo,23.070,26.682,21.879,513.701.696,23.927.026,615.564.055,27.766.766,83.064.817,504.739.426
02007-Campollano,1.126,30.113,24.641,29.219.272,1.130.019,33.907.121,1.706.280,4.455.411,27.745.430
02008-La Estrella- La Milagrosa- Hermanos Falcó- Universidad,5.202,29.801,24.032,131.767.802,6.213.555,155.024.986,7.169.321,22.842.436,125.013.229
02049-Aguas Nuevas,1.117,26.491,21.706,23.186.626,1.024.523,29.590.315,1.269.348,4.075.669,24.245.297
Resto,2.349,21.951,18.529,41.588.914,2.235.762,51.561.844,2.154.746,5.882.476,43.524.623
Badalona-08015,103.288,29.314,23.846,2.505.818.295,135.582.027,3.027.821.959,122.831.911,442.005.397,2.463.031.266
08911-Casagemes,13.005,38.826,30.248,398.944.543,16.808.886,504.928.924,18.055.745,93.510.468,393.369.267
08912-Badalona,17.583,35.975,28.421,506.042.709,24.860.837,632.551.677,24.660.407,108.181.347,499.719.996
08913-La Salut,13.044,23.923,20.235,268.001.589,15.845.864,312.049.672,12.830.591,35.275.265,263.943.923
08914-Centro,14.225,23.610,19.964,284.545.893,18.828.268,335.850.891,14.151.957,37.716.549,283.990.041
08915-Morera,14.141,29.227,23.809,352.305.212,17.902.941,413.292.617,17.990.781,58.624.275,336.677.561
08916-Mas Ram,1.506,38.274,30.196,40.865.446,1.920.396,57.639.969,1.920.098,10.245.164,45.474.707
08917-Montigala,20.851,27.240,22.447,484.786.336,27.745.937,567.982.326,24.524.846,75.426.320,468.038.743
08918-Sant Roc,8.477,22.791,19.251,162.714.563,11.040.006,193.199.780,8.239.816,21.779.735,163.187.080
Resto,456,22.645,18.925,7.612.004,628.893,10.326.103,457.670,1.246.275,8.629.949
Barcelona-08019,907.108,39.973,31.038,26.585.572.077,1.197.850.291,36.259.505.871,1.146.599.580,6.961.287.402,28.154.408.761
08001-Ciutat Vella-El Raval,19.174,24.742,20.284,374.944.659,20.630.558,474.402.762,20.531.406,64.967.206,388.928.626
08002-Barrio Gótico,7.157,32.283,25.549,163.920.769,6.947.596,231.047.540,8.354.442,39.845.113,182.851.346
08003-Barceloneta y Sant Pere,16.666,31.375,24.814,393.608.206,16.955.961,522.893.574,19.902.749,89.443.879,413.554.231
08004-Pueblo Seco,25.684,29.341,23.687,610.707.771,33.346.751,753.589.643,29.748.244,115.479.642,608.367.936
08005-El Poblenou,23.750,42.955,32.873,782.937.514,33.350.071,1.020.192.293,35.176.757,204.293.171,780.742.803
08006-Sant Gervasi,19.088,56.097,42.018,684.912.338,26.158.410,1.070.781.315,26.916.439,241.838.053,802.039.264
08007-Passeig de Gràcia-Rambla de Catalunya,3.132,60.936,45.295,106.994.829,3.647.861,190.850.155,4.183.152,44.802.059,141.864.944
08008-Diagonal-Provença,4.089,64.197,47.799,146.482.560,5.337.935,262.501.612,5.545.462,61.507.937,195.451.323
08009-Dreta de L Eixample,7.224,51.739,39.039,248.817.151,10.448.334,373.760.672,10.077.963,81.671.241,282.021.028
08010-Tetúan-Urquinaona,5.616,52.614,39.489,192.646.391,6.001.167,295.477.792,7.871.717,65.852.125,221.769.075
